Date,Time,Class Detected,Total Number by Class
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:05,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:06,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:07,person,1
2023-07-09,20:26:08,person,1
2023-07-09,20:26:08,person,1
2023-07-09,20:26:08,person,1
2023-07-09,20:26:08,person,1
2023-07-09,20:26:08,person,1
